Iteration,AverageSaleValue,MinSaleValue,MaxSaleValue,Distance,Tolerance,client_numeric,day,month,sku_count_products,total_num_count_products,total_price_products,vendor_numeric,year
19,5205.49,1992.8,8217.89,0.0240453,13,1.32852,-1.15155,-0.386567,-0.632876,0.827658,0.172342,-0.994048,0.951574
20,5884.24,1972.42,8249.15,0.0237912,13,1.32852,-1.15155,-0.386567,-0.632876,0.825216,0.174784,-0.994048,0.951574
21,5198.61,2119.69,8239.18,0.0227496,13,1.32852,-1.15155,-0.386567,-0.632876,0.822865,0.177135,-0.994048,0.951574
22,5277.2,2127,8219.59,0.0237927,13,1.32852,-1.15155,-0.386567,-0.632876,0.822122,0.177878,-0.994048,0.951574
23,5085.68,1968.6,8225.3,0.0225489,13,1.32852,-1.15155,-0.386567,-0.632876,0.825821,0.174179,-0.994048,0.951574
24,4763.33,2100.59,7922.29,0.0237689,13,1.32852,-1.15155,-0.386567,-0.632876,0.823455,0.176545,-0.994048,0.951574
25,5579.58,1944.08,8180.22,0.0236895,13,1.32852,-1.15155,-0.386567,-0.632876,0.823846,0.176154,-0.994048,0.951574
26,4762.32,2048.51,8181.87,0.0221412,13,1.32852,-1.15155,-0.386567,-0.632876,0.82151,0.17849,-0.994048,0.951574
27,5374.29,1965.08,8210.9,0.0219824,13,1.32852,-1.15155,-0.386567,-0.632876,0.823781,0.176219,-0.994048,0.951574
28,5011.95,1934.1,8215.25,0.0241192,13,1.32852,-1.15155,-0.386567,-0.632876,0.822812,0.177188,-0.994048,0.951574
29,5823.42,1953.56,7984.48,0.0228263,13,1.32852,-1.15155,-0.386567,-0.632876,0.820869,0.179131,-0.994048,0.951574
30,4933.45,1989.84,7865.88,0.022974,13,1.32852,-1.15155,-0.386567,-0.632876,0.81922,0.18078,-0.994048,0.951574
31,4734.64,2017.85,7732.28,0.022336,13,1.32852,-1.15155,-0.386567,-0.632876,0.815336,0.184664,-0.994048,0.951574
32,5336.89,2111.44,8070.43,0.0239382,13,1.32852,-1.15155,-0.386567,-0.632876,0.815855,0.184145,-0.994048,0.951574
33,5514.08,2559.87,8200.47,0.0248283,13,1.32852,-1.15155,-0.386567,-0.632876,0.819388,0.180612,-0.994048,0.951574
34,4848.12,1923.65,7931,0.0231274,13,1.32852,-1.15155,-0.386567,-0.632876,0.81857,0.18143,-0.994048,0.951574
35,5318.81,2320.84,8181.63,0.0236985,13,1.32852,-1.15155,-0.386567,-0.632876,0.815689,0.184311,-0.994048,0.951574
36,5268.14,2011.5,8242.53,0.0243405,13,1.32852,-1.15155,-0.386567,-0.632876,0.814166,0.185834,-0.994048,0.951574
37,5568.66,2547.71,8222.72,0.0243734,13,1.32852,-1.15155,-0.386567,-0.632876,0.817825,0.182175,-0.994048,0.951574
38,5154.01,1926.23,8156.61,0.0228453,13,1.32852,-1.15155,-0.386567,-0.632876,0.817457,0.182543,-0.994048,0.951574
39,4161.22,1909.16,7924.28,0.023102,13,1.32852,-1.15155,-0.386567,-0.632876,0.817425,0.182575,-0.994048,0.951574
40,4720.95,1971.41,8196.91,0.0235822,13,1.32852,-1.15155,-0.386567,-0.632876,0.816913,0.183087,-0.994048,0.951574
41,4787.78,2050.82,8213.63,0.0229334,13,1.32852,-1.15155,-0.386567,-0.632876,0.808573,0.191427,-0.994048,0.951574
42,5518.09,2021.4,8165.59,0.0226859,13,1.32852,-1.15155,-0.386567,-0.632876,0.810277,0.189723,-0.994048,0.951574
43,4965.28,1934,8220.77,0.0235121,13,1.32852,-1.15155,-0.386567,-0.632876,0.806615,0.193385,-0.994048,0.951574
44,5466.58,1911.11,8226.87,0.0228283,13,1.32852,-1.15155,-0.386567,-0.632876,0.803477,0.196523,-0.994048,0.951574
45,4966.5,2328.96,7668.91,0.0240228,13,1.32852,-1.15155,-0.386567,-0.632876,0.803918,0.196082,-0.994048,0.951574
