client_numeric;vendor_numeric;year;month;day;sku_count_products;total_num_count_products;total_price_products
4210;37;2022;1;10;18;130;129645
3880;91;2022;1;7;8;8;14231
4293;127;2022;1;7;6;10;18627
2159;68;2022;1;10;19;62;321295
4316;80;2022;1;7;16;66;122184
2529;103;2022;1;10;14;19;45933
3880;91;2022;1;7;7;12;17592
4389;86;2022;1;7;17;67;153329
4408;108;2022;1;10;15;33;50686
4408;108;2022;1;11;15;32;52441
4268;13;2022;1;10;6;16;41113
4449;65;2022;1;10;13;52;99654
3880;91;2022;1;7;7;9;19230
4462;32;2022;1;7;29;69;70672
3880;91;2022;1;10;10;24;63370
4268;13;2022;1;10;14;33;54244
453;74;2022;1;8;11;51;118034
3880;91;2022;1;10;9;13;30762
4602;13;2022;1;11;18;33;74355
4654;37;2022;1;10;22;58;99262
4677;65;2022;1;10;19;91;182842
4685;89;2022;1;10;28;67;167431
4704;37;2022;1;10;14;42;98281
1823;44;2022;1;10;2;3;3848
4732;34;2022;1;7;7;169;193381
2793;98;2022;1;11;6;39;72215
4843;27;2022;1;11;15;42;73752
4821;109;2022;1;7;18;95;212916
4877;37;2022;1;10;15;38;46524
4879;138;2022;1;18;14;57;148970
3569;105;2022;1;10;10;32;68348
4955;70;2022;1;10;11;28;58999
689;5;2022;1;11;4;7;8854
4879;43;2022;1;10;14;57;148970
1441;108;2022;1;10;8;69;350321
5144;92;2022;1;10;31;91;123655
5175;3;2022;1;11;16;97;251897
426;44;2022;1;10;6;18;53543
5334;26;2022;1;11;16;54;120150
5366;18;2022;1;11;28;168;258637
5396;27;2022;1;11;26;143;360956
4218;44;2022;1;11;8;21;29812
5412;8;2022;1;11;31;133;438052
2351;12;2022;1;10;6;13;24906
5495;38;2022;1;11;36;98;175810
5532;74;2022;1;11;6;25;94074
5535;68;2022;1;11;35;143;232562
5544;48;2022;1;11;15;58;124004
5551;15;2022;1;11;6;8;15486
5583;53;2022;1;12;15;60;108744
4039;126;2022;1;12;19;48;96509
5544;48;2022;1;12;7;12;30203
5544;48;2022;1;11;20;41;91690
5544;48;2022;1;12;1;15;46110
1289;130;2022;1;12;22;203;238854
