client_numeric;vendor_numeric;year;month;day;sku_count_products;total_num_count_products;total_price_products
10552;57;2022;7;29;25;60;85497
21279;158;2022;7;29;8;14;20954
1999;119;2022;8;1;10;22;46815
9843;37;2022;8;2;11;120;146843
6032;68;2022;8;2;25;80;126025
6135;68;2022;8;2;26;79;119932
7691;37;2022;8;3;18;45;115273
12373;19;2022;8;3;21;51;121502
1018;19;2022;8;3;19;87;182819
1523;61;2022;8;4;13;114;219857
1339;34;2022;8;4;13;45;96636
715;6;2022;8;4;33;388;501054
2195;30;2022;8;4;28;86;145929
4792;56;2022;8;4;30;616;867035
5497;104;2022;8;5;8;60;114450
590;112;2022;8;5;58;681;799574
2260;97;2022;8;8;33;232;494666
6032;68;2022;8;4;21;63;130756
8446;37;2022;8;8;20;61;220430
895;83;2022;8;9;11;29;68223
8591;88;2022;8;11;21;95;140185
14980;53;2022;8;10;15;161;406160
5714;37;2022;8;16;3;17;52839
4727;37;2022;8;16;18;150;268276
10271;37;2022;8;16;15;30;95660
10948;80;2022;8;16;35;64;144705
18372;70;2022;8;16;12;19;70838
7251;135;2022;8;23;17;86;57450
7980;30;2022;8;18;15;45;75050
371;9;2022;8;22;8;34;121765
6502;37;2022;8;22;8;34;95771
6858;106;2022;8;24;50;456;202131
10397;108;2022;8;24;30;187;303327
8323;41;2022;8;24;21;81;206816
9644;154;2022;8;24;9;19;42745
1799;43;2022;8;24;5;10;54919
21969;76;2022;8;24;16;20;51293
6092;37;2022;8;26;16;36;147550
10358;37;2022;8;26;19;56;109481
18213;115;2022;8;26;22;79;373364
10552;57;2022;8;29;29;91;125279
6436;21;2022;8;30;32;311;754308
391;30;2022;8;29;8;19;52083
5616;104;2022;8;30;15;466;212270
3761;37;2022;8;31;36;208;298119
8800;37;2022;8;31;14;26;61772
877;104;2022;9;1;19;1271;954164
22172;37;2022;9;1;20;38;79514
2669;65;2022;9;2;9;28;41066
6032;68;2022;9;1;25;77;127389
947;28;2022;9;2;44;200;364510
1018;19;2022;9;5;18;83;106884
1726;37;2022;9;5;9;15;20242
10439;70;2022;9;5;31;198;135476
715;6;2022;9;5;22;385;384882
6032;68;2022;9;5;26;57;128642
4733;108;2022;9;6;12;27;46436
17783;37;2022;9;5;20;102;208423
2793;89;2022;9;6;11;47;122361
1119;112;2022;9;6;19;481;241240
3633;140;2022;9;6;10;41;94063
7691;37;2022;9;6;22;58;146580
11651;137;2022;9;7;5;902;1221344
13953;21;2022;9;7;35;88;94330
877;104;2022;9;22;1;17;32130
877;104;2022;9;8;12;1304;871294
561;56;2022;9;9;2;5;8767
14210;118;2022;9;20;22;244;676948
9799;107;2022;9;21;25;108;110729
15681;110;2022;9;22;9;115;117684
6689;106;2022;9;23;20;54;119942
18372;70;2022;9;26;12;54;102276
12118;33;2022;9;26;39;332;492497
10948;80;2022;9;23;30;46;108345
13531;37;2022;9;23;31;77;139614
6092;37;2022;9;27;15;33;113231
4245;63;2022;9;28;16;58;109419
1589;2;2022;9;28;13;26;62701
22704;88;2022;9;29;28;346;692881
3761;37;2022;9;29;49;285;406554
1726;37;2022;9;30;18;53;73065
2464;134;2022;9;29;41;400;517088
6712;39;2022;10;3;8;21;35410
152;72;2022;10;4;25;54;188993
12561;125;2022;10;3;12;204;223943
2714;103;2022;10;4;19;176;328687
1360;41;2022;10;5;16;49;291944
1780;88;2022;10;4;24;78;110649
9617;91;2022;10;5;17;31;47756
5999;37;2022;10;6;20;162;145133
444;61;2022;10;6;2;4;5284
6135;68;2022;10;5;18;87;179846
1899;115;2022;10;6;51;205;284465
5999;37;2022;10;6;20;162;145133
10552;57;2022;10;6;31;73;104974
7980;30;2022;10;7;17;57;100899
6032;68;2022;10;7;19;56;116463
6032;68;2022;10;7;26;61;125239
128;66;2022;10;8;8;106;179753
8800;37;2022;10;7;10;23;50753
2793;89;2022;10;11;19;97;172453
231;80;2022;10;12;16;54;112004
6436;21;2022;10;13;33;309;679693
4810;30;2022;10;13;16;239;157957
128;66;2022;10;13;12;209;514589
7382;65;2022;10;13;10;334;213438
9512;115;2022;10;12;1;8;16080
8427;12;2022;10;14;126;5631;7060729
3490;102;2022;10;13;21;152;141630
5085;21;2022;10;17;9;20;59621
9426;115;2022;10;14;44;250;231338
5183;37;2022;10;17;8;61;98044
1022;5;2022;10;18;47;239;611854
689;5;2022;10;17;1;1;1953
689;5;2022;10;17;2;4;9286
689;5;2022;10;17;1;1;1953
689;5;2022;10;17;2;2;4792
689;5;2022;10;17;4;4;8230
689;5;2022;10;17;4;6;15010
689;5;2022;10;17;8;38;75052
6502;37;2022;10;17;18;62;152592
13509;37;2022;10;18;21;204;116154
1082;51;2022;10;18;20;477;212645
4399;78;2022;10;19;7;97;184888
4399;78;2022;10;19;16;219;282971
1142;78;2022;10;19;8;278;223508
11315;37;2022;10;24;15;26;46983
6333;83;2022;10;20;19;38;114843
11543;37;2022;10;21;7;12;36056
6858;106;2022;10;24;27;58;128359
4301;125;2022;10;24;8;28;91233
10439;70;2022;10;25;31;101;135641
10948;80;2022;10;24;27;39;110257
5714;37;2022;10;25;3;9;45789
4021;78;2022;10;24;6;12;45926
1082;51;2022;10;24;16;327;145303
6662;37;2022;10;25;30;82;138105
6579;55;2022;10;26;30;79;244628
18939;9;2022;10;27;8;330;1241780
14210;118;2022;10;27;16;182;118341
2669;65;2022;10;27;18;46;128450
4792;56;2022;10;27;40;880;1571731
3794;159;2022;10;27;19;39;114678
21779;37;2022;11;2;37;266;197126
3181;153;2022;11;2;2;11;22599
21020;125;2022;11;3;12;105;214597
1401;90;2022;11;3;37;67;234211
4021;78;2022;11;3;7;24;56413
5818;41;2022;11;4;13;29;54846
1018;19;2022;11;7;19;88;241086
20159;37;2022;11;4;11;27;109860
13889;37;2022;11;8;12;28;65264
949;96;2022;11;4;35;159;511052
1780;88;2022;11;4;21;60;116740
3490;102;2022;11;8;27;199;281920
13498;125;2022;11;4;20;226;566366
1360;41;2022;11;7;11;32;88934
