client_numeric;vendor_numeric;year;month;day;sku_count_products;total_num_count_products;total_price_products
2637;44;2022;1;18;19;249;659184
549;21;2022;1;18;11;33;119134
1602;65;2022;1;18;56;559;515692
617;107;2022;1;18;8;124;105963
122;119;2022;1;19;20;236;104374
1298;119;2022;1;18;12;19;43497
8171;69;2022;1;18;8;23;70877
8184;91;2022;1;25;42;286;678629
581;22;2022;1;19;41;172;157056
3594;104;2022;1;19;16;150;100553
59;43;2022;1;19;34;194;390569
8231;111;2022;1;18;1;60;274560
8227;132;2022;1;18;8;55;29361
3305;13;2022;1;19;2;16;49864
1965;15;2022;1;19;3;3;23703
8251;37;2022;1;18;5;37;132415
8269;1;2022;1;19;12;47;128178
2874;31;2022;1;19;29;397;235410
1109;134;2022;1;19;1;1;4035
8290;37;2022;1;18;5;18;114793
8300;59;2022;1;18;6;15;63878
8304;37;2022;1;19;13;179;190795
338;158;2022;1;19;12;23;50125
8321;10;2022;1;18;12;133;208430
8324;114;2022;1;18;16;49;76309
8336;37;2022;1;18;27;180;697281
617;107;2022;1;19;8;124;105963
3384;107;2022;1;19;17;78;178642
8281;119;2022;1;19;23;77;112532
8376;37;2022;1;19;6;16;36654
8377;136;2022;1;19;5;28;57568
344;5;2022;1;18;18;50;94758
8390;38;2022;1;19;27;95;135977
8393;133;2022;1;19;28;169;495274
8038;89;2022;1;18;4;4;40745
3903;75;2022;1;19;12;132;201431
7939;18;2022;1;18;12;293;192137
942;37;2022;1;18;6;18;49531
8497;34;2022;1;19;31;394;478001
98;54;2022;1;20;14;116;301989
6025;93;2022;1;19;4;7;123943
8511;37;2022;1;20;4;11;40260
4683;69;2022;1;20;10;34;133734
8520;43;2022;1;20;16;175;213755
4790;40;2022;1;20;3;13;80371
625;15;2022;1;19;22;178;133214
8548;37;2022;1;18;6;44;60120
8576;37;2022;1;20;50;184;424863
8578;108;2022;1;19;28;85;220608
5;5;2022;1;20;25;138;305125
153;73;2022;1;20;68;1715;2761577
8612;34;2022;1;20;30;112;194488
618;49;2022;1;20;2;24;128520
843;51;2022;1;19;5;11;77299
8625;12;2022;1;20;21;321;409933
98;54;2022;1;19;10;89;87684
8627;11;2022;1;20;19;127;193625
8628;21;2022;1;19;17;56;96511
6832;20;2022;1;20;2;4;42082
6589;2;2022;1;20;14;87;205014
2019;57;2022;1;19;21;163;336524
107;61;2022;1;20;21;61;157984
3850;97;2022;1;19;9;39;106861
6702;3;2022;1;19;8;25;56092
2200;43;2022;1;20;33;667;1028892
576;28;2022;1;20;39;624;589745
98;54;2022;1;20;18;219;270006
4118;15;2022;1;20;24;45;90283
8846;37;2022;1;20;38;291;330824
8847;108;2022;1;20;10;21;86391
2869;44;2022;1;20;10;25;66778
7287;107;2022;1;20;24;141;204829
8803;34;2022;1;20;40;333;320018
8881;63;2022;1;19;23;190;549141
8884;93;2022;1;19;8;37;43681
8895;47;2022;1;20;13;82;171752
1080;117;2022;1;21;22;121;191447
785;65;2022;1;20;26;70;130293
3563;101;2022;1;20;3;62;83732
8941;119;2022;1;20;46;161;350295
4004;93;2022;1;20;4;10;30857
7154;111;2022;1;21;17;171;113830
3986;90;2022;1;21;2;11;40870
2638;38;2022;1;21;15;47;77632
8971;116;2022;1;21;8;12;27417
4401;51;2022;1;20;6;24;32045
8994;44;2022;1;21;3;41;55072
9010;9;2022;1;21;14;99;120573
8023;45;2022;1;21;1;8;42368
2455;45;2022;1;21;1;19;100624
1029;36;2022;1;20;10;181;263876
9046;37;2022;1;21;17;55;458180
6204;22;2022;1;24;15;36;81010
9068;37;2022;1;20;17;161;156160
2995;72;2022;1;21;12;101;80166
132;65;2022;1;21;18;54;177191
9113;73;2022;1;20;4;24;19380
2059;9;2022;1;20;7;74;39024
3986;90;2022;1;21;13;27;20709
4478;104;2022;1;20;29;96;311583
9147;13;2022;1;21;14;32;105286
4430;2;2022;1;21;29;135;291219
8516;28;2022;1;20;25;175;172757
98;54;2022;1;21;6;140;69734
5067;53;2022;1;20;11;38;190308
4847;43;2022;1;20;14;126;72782
9185;37;2022;1;21;18;50;135107
3986;90;2022;1;21;15;24;26030
9206;127;2022;1;24;20;62;223913
5479;148;2022;1;21;9;77;136301
2391;147;2022;1;20;7;8;43485
5080;111;2022;1;21;44;243;202873
3986;90;2022;1;21;27;58;168214
9231;80;2022;1;26;41;333;698594
5664;44;2022;1;24;13;404;308992
3967;110;2022;1;21;5;17;44741
6276;159;2022;1;20;38;168;319917
1136;3;2022;1;20;6;234;155459
7890;127;2022;1;21;9;101;313193
885;98;2022;1;20;6;49;90936
9240;132;2022;1;21;3;19;54510
9305;66;2022;1;21;10;14;32198
4926;3;2022;1;24;1;1;3916
8124;37;2022;1;24;8;19;49968
9342;27;2022;1;24;1;150;573000
761;119;2022;1;24;6;31;187566
2056;43;2022;1;25;24;154;283798
5147;39;2022;1;21;16;124;169891
3240;57;2022;1;21;9;18;74680
9468;127;2022;1;24;12;41;98889
9486;37;2022;1;24;18;75;72143
9488;37;2022;1;24;8;18;26672
9113;73;2022;1;21;4;24;19380
9500;65;2022;1;24;14;53;153075
9511;41;2022;1;24;53;419;471399
9523;112;2022;1;24;17;36;80350
9536;86;2022;1;25;47;281;292406
3131;65;2022;1;25;8;85;69058
2988;123;2022;1;25;7;31;79356
667;73;2022;1;25;8;37;49034
9593;101;2022;1;24;14;57;133324
49;14;2022;1;24;6;91;212076
9596;123;2022;1;25;25;217;325031
9601;128;2022;1;24;19;86;195113
135;65;2022;1;24;2;12;45954
114;3;2022;1;24;6;14;22663
8797;123;2022;1;24;3;24;48888
9631;21;2022;1;24;16;94;165998
5344;73;2022;1;25;3;103;524243
656;17;2022;1;24;4;123;187768
4872;135;2022;1;25;3;20;59642
1531;75;2022;1;25;10;97;184443
3704;45;2022;1;24;13;128;106424
137;9;2022;1;25;36;198;263066
9718;23;2022;1;24;30;221;254892
9729;68;2022;1;24;27;421;454459
9744;37;2022;1;25;62;150;173211
9761;123;2022;1;25;15;134;102968
3217;101;2022;1;24;7;175;209234
6498;57;2022;1;25;17;429;496220
3393;44;2022;1;24;25;289;314196
762;127;2022;1;24;10;63;139947
2839;37;2022;1;25;21;45;68017
2724;159;2022;1;25;14;117;80321
4037;51;2022;1;26;12;104;208483
1894;37;2022;1;26;11;48;79119
6332;111;2022;1;25;10;139;180543
9912;127;2022;1;26;22;131;252217
2544;37;2022;1;26;14;99;211957
8520;43;2022;1;26;33;116;384212
2291;135;2022;1;26;20;230;364084
9961;37;2022;1;26;19;77;221362
2641;96;2022;1;25;2;7;55973
9985;38;2022;1;26;30;174;838830
1194;95;2022;1;26;2;30;83460
3359;37;2022;1;26;20;48;90669
931;119;2022;1;26;8;40;114621
2711;39;2022;1;25;24;377;334237
10020;127;2022;1;26;34;568;672454
10023;94;2022;1;26;8;31;29693
10026;91;2022;1;26;8;56;53345
700;57;2022;1;25;9;244;68020
10033;39;2022;1;26;6;11;18307
4285;101;2022;1;26;18;94;140001
5420;19;2022;1;26;17;102;319017
403;93;2022;1;26;13;93;237994
5391;135;2022;1;26;33;295;423959
2298;130;2022;1;26;13;108;342315
3071;37;2022;1;26;15;42;70790
9394;86;2022;1;25;3;18;62600
7039;158;2022;1;26;9;119;116804
5836;44;2022;1;26;3;5;30932
5422;119;2022;1;27;4;17;68030
924;37;2022;1;27;22;77;223308
1872;41;2022;1;26;16;32;63236
10186;119;2022;1;26;1;6;22920
1725;51;2022;1;27;15;43;204701
10218;18;2022;1;26;17;81;138557
10246;31;2022;1;26;8;25;67506
604;63;2022;1;26;12;77;65958
4662;37;2022;1;26;8;84;213769
10270;37;2022;1;27;15;42;112738
10280;62;2022;1;27;24;66;134167
5967;43;2022;1;27;38;332;547407
797;101;2022;1;27;2;4;15044
10291;123;2022;1;27;10;104;151138
10316;111;2022;1;27;2;36;134400
9661;57;2022;1;27;6;12;83290
5707;158;2022;1;27;6;20;31820
10346;86;2022;1;27;23;253;332483
877;104;2022;1;26;11;1238;862904
1626;56;2022;1;27;28;149;82690
1109;134;2022;1;27;15;71;157283
1398;40;2022;1;26;4;26;76838
1174;119;2022;1;27;3;122;93574
10418;66;2022;1;27;31;185;355996
10420;3;2022;1;27;15;45;134092
879;112;2022;1;27;2;15;178590
4092;100;2022;1;31;12;151;149934
991;12;2022;1;27;31;277;458993
10468;66;2022;1;27;31;124;279811
577;27;2022;1;27;32;94;218209
12;12;2022;1;28;3;10;29176
10524;37;2022;1;28;10;24;87327
4146;37;2022;1;27;15;30;60297
10537;46;2022;1;28;34;89;152536
3304;51;2022;1;27;9;156;257122
1442;89;2022;1;28;3;13;26962
7282;22;2022;1;28;40;148;293141
376;32;2022;1;27;11;72;123538
1441;135;2022;1;27;5;39;159842
10564;37;2022;1;28;25;173;405008
10587;37;2022;1;28;3;103;264160
5080;20;2022;1;28;28;185;166765
1740;96;2022;1;27;19;318;599613
1231;65;2022;1;28;34;226;529610
10647;37;2022;1;27;7;53;39692
8777;53;2022;1;28;22;183;837840
3433;90;2022;1;27;8;40;66732
4234;37;2022;1;28;17;75;124494
1804;70;2022;1;28;10;73;70045
1416;101;2022;1;28;7;30;77030
10707;37;2022;1;28;24;109;120423
8803;34;2022;2;2;38;1862;2137197
4363;129;2022;1;31;6;35;74148
10734;95;2022;1;28;8;27;23757
10744;37;2022;1;31;8;45;102399
4282;60;2022;1;28;8;18;50823
10751;22;2022;1;31;13;165;321280
10770;91;2022;1;31;30;54;130101
10772;41;2022;1;31;15;78;279281
10773;158;2022;1;31;11;48;118458
5314;45;2022;1;31;8;92;120986
10808;37;2022;1;31;15;36;85000
2865;18;2022;1;31;16;55;73911
338;158;2022;1;31;46;596;1612493
5141;149;2022;2;1;4;14;24122
7407;44;2022;1;31;10;42;83207
10847;37;2022;1;28;6;14;61293
10862;37;2022;1;31;25;154;101985
10891;98;2022;1;31;14;39;90424
235;6;2022;1;31;9;36;77768
2589;62;2022;1;31;2;22;33640
10925;37;2022;1;31;19;173;124095
3036;3;2022;1;31;5;13;35934
3113;56;2022;1;31;16;87;147854
10965;101;2022;1;31;78;3872;4243182
3301;130;2022;1;31;8;31;312041
10857;74;2022;1;31;40;2338;1576301
10986;37;2022;1;31;8;39;72377
662;17;2022;1;31;13;41;93343
1850;18;2022;1;31;10;81;154211
1347;37;2022;1;31;28;64;90456
3384;123;2022;1;31;4;9;88303
11065;8;2022;1;31;15;55;98088
8386;37;2022;1;31;14;113;63097
1087;90;2022;1;31;2;5;15029
1074;111;2022;1;31;24;133;222401
3316;101;2022;1;31;10;342;247948
3381;135;2022;1;31;20;69;91794
2471;135;2022;1;31;24;136;255353
2669;65;2022;1;31;4;7;24242
3305;13;2022;1;31;2;16;49864
11152;37;2022;1;31;16;80;220603
11158;105;2022;1;31;9;77;177647
8074;59;2022;2;1;3;24;34760
198;56;2022;2;1;15;105;332857
11191;37;2022;1;31;19;190;96054
827;123;2022;2;2;33;1107;368557
11212;106;2022;2;2;21;66;199090
4056;56;2022;2;2;18;117;138104
11216;115;2022;2;1;6;62;119184
4589;43;2022;2;2;12;27;86916
11229;27;2022;2;1;10;58;65659
128;125;2022;2;2;3;143;518191
8088;16;2022;2;1;30;135;344786
6204;22;2022;2;1;17;45;95650
7644;116;2022;2;2;6;209;198929
11251;37;2022;2;1;34;172;422094
715;6;2022;2;2;29;221;455552
7379;54;2022;2;2;23;181;201176
11272;27;2022;2;2;11;47;59845
1435;154;2022;2;1;31;202;173720
1178;163;2022;2;1;12;59;47252
2976;104;2022;2;2;7;72;151640
2938;96;2022;2;2;40;323;567447
4974;3;2022;2;1;15;73;109575
1053;45;2022;2;2;2;7;38504
10543;9;2022;2;2;2;50;195475
656;44;2022;2;1;11;537;351398
2464;134;2022;2;1;4;4;13379
1082;51;2022;2;1;6;112;233880
1654;68;2022;2;1;14;64;70474
1654;68;2022;2;1;6;56;106881
11366;77;2022;2;2;12;49;107587
1989;100;2022;2;1;23;104;155216
2173;82;2022;2;2;5;6;13351
3521;54;2022;2;2;5;45;84898
11377;56;2022;2;1;25;2057;1013895
1415;78;2022;2;2;18;120;136598
1416;78;2022;2;3;9;49;45284
11390;104;2022;2;2;7;36;81418
4974;26;2022;2;2;12;78;194607
5479;35;2022;2;3;12;34;157361
11409;31;2022;2;2;16;77;108937
4076;27;2022;2;3;3;50;167210
104;47;2022;2;2;1;2;7994
444;61;2022;2;3;10;61;298443
5368;126;2022;2;2;14;248;192011
11427;27;2022;2;3;30;243;231398
1045;65;2022;2;3;7;25;30272
11432;65;2022;2;3;31;190;259337
3986;88;2022;2;3;10;17;20460
3581;125;2022;2;2;11;59;84436
6159;27;2022;2;3;25;104;165331
4999;65;2022;2;2;35;77;222487
1774;51;2022;2;4;15;68;309522
11462;136;2022;2;2;2;13;56876
11462;136;2022;2;2;2;13;56876
